graduated,gender
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
